"Sample_ID","BCL11B","ETP-like","HOXA9 TCR","KMT2A","LMO2 gd-like","MLLT10","NKX2-1","NKX2-5","NUP214","NUP98","SPI1","STAG2/LMO2","TAL1 aﬂ-like","TAL1 DP-like","TLX1","TLX3","TME-enriched"
"154037_DFCI16-098_T_STAR_hg38_aligned.RG.MD.bam",0.970545589923859,0.00939223822206259,0.000700879725627601,0.00329086021520197,0.000717333343345672,0.000694463145919144,0.000655803654808551,0.0017674567643553,0.000699699681717902,0.00361328781582415,0.00151872576680034,0.000853539793752134,0.000715944974217564,0.000755839282646775,0.000744364864658564,0.00154071918223053,0.00179320515599102
"151629_DFCI16-053_T_STAR_hg38_aligned.RG.MD.bam",0.0179544687271118,0.00160742178559303,0.00465291040018201,0.00429617147892714,0.00402744393795729,0.00317126512527466,0.00377527321688831,0.0269358586519957,0.00413161143660545,0.00543976947665215,0.00323529983870685,0.0171674210578203,0.790934801101685,0.0913874581456184,0.00300898612476885,0.00989029183983803,0.00838348641991615
"152005_DFCI16-059_T_STAR_hg38_aligned.RG.MD.bam",0.000318860227707773,0.000171049672644585,0.00120560941286385,0.000382269558031112,0.000225030613364652,0.000779546215198934,0.000835363287478685,0.000835451704915613,0.00277937483042479,0.000364387116860598,0.000227658456424251,0.00115417467895895,0.000435761088738218,0.00225334498099983,0.983357965946198,0.00434656860306859,0.000327540648868307
"DFCI16-008_T_STAR_hg38_aligned.RG.MD.bam",0.00244201999157667,0.00170581217389554,0.00265085441060364,0.00239190878346562,0.00364860286936164,0.00249695940874517,0.00422028731554747,0.0185245666652918,0.00361654465086758,0.00291986111551523,0.00352055369876325,0.00812615547329187,0.423829436302185,0.502954125404358,0.00511138141155243,0.00626323465257883,0.00557770626619458
"151609_SIGN0039_T_STAR_hg38_aligned.RG.MD.bam",0.00224805483594537,0.000878848950378597,0.00205943780019879,0.00276643107645214,0.0026922260876745,0.0020805902313441,0.00411749910563231,0.00816371291875839,0.00226063164882362,0.00411467906087637,0.00214539933949709,0.00249675358645618,0.86680942773819,0.0825221613049507,0.00258155260235071,0.00844085682183504,0.00362175144255161
"154673_SIGN0104_T_STAR_hg38_aligned.RG.MD.bam",0.187631741166115,0.541772902011871,0.00539267342537642,0.0841917768120766,0.00677511934190989,0.00483133876696229,0.00433281483128667,0.0193654466420412,0.00791176315397024,0.0110309384763241,0.00914178881794214,0.0136256795376539,0.0107974419370294,0.0257259458303452,0.0054206121712923,0.00933295674622059,0.0527190752327442
"155528_DFCI16-144_T_STAR_hg38_aligned.RG.MD.bam",0.0163204297423363,0.0230339299887419,0.189715430140495,0.0282506886869669,0.0167718324810266,0.183373346924782,0.0184727180749178,0.0169684179127216,0.114142253994942,0.0863354802131653,0.0172328259795904,0.0167003776878119,0.0135060613974929,0.00859260931611061,0.025510311126709,0.208264052867889,0.0168091934174299
"163196_DFCI16-340_T_STAR_hg38_aligned.RG.MD.bam",0.00910589098930359,0.0307711102068424,0.008366409689188,0.0107187302783132,0.0613504499197006,0.00776749942451715,0.0064816134981811,0.0359681323170662,0.0481627322733402,0.013057024218142,0.0110921720042825,0.0537461154162884,0.658207476139069,0.0148017359897494,0.00929380673915148,0.0125550972297788,0.00855400506407022
"159264_DFCI16-256_T_STAR_hg38_aligned.RG.MD.bam",0.0032812065910548,0.00153892929665744,0.00219112914055586,0.00330958073027432,0.00245344033464789,0.00224086223170161,0.0045315925963223,0.00351109798066318,0.00505853025242686,0.00401192624121904,0.00248868740163743,0.00452666636556387,0.828037023544312,0.119818322360516,0.00348856532946229,0.0074092922732234,0.00210312893614173
"158253_DFCI16-217_T_STAR_hg38_aligned.RG.MD.bam",0.00389128574170172,0.360242754220963,0.00890078581869602,0.0269229486584663,0.00435689836740494,0.389690458774567,0.00330223306082189,0.00840724352747202,0.0540741309523582,0.100401349365711,0.00381050468422472,0.00903604179620743,0.00731506431475282,0.00225757388398051,0.00402962602674961,0.00993997137993574,0.00342114875093102
"DFCI16-035_T_STAR_hg38_aligned.RG.MD.bam",0.00110741017851979,0.000433754874393344,0.000411901710322127,0.000470702711027116,0.000689992390107363,0.000532171863596886,0.0110392570495605,0.00130422972142696,0.00231930497102439,0.00188554392661899,0.000334144773660228,0.00164902315009385,0.00265208352357149,0.000819412001874298,0.000524631992448121,0.972814738750458,0.00101165357045829
"158384_DFCI16-223_T_STAR_hg38_aligned.RG.MD.bam",0.00298532238230109,0.00231837993487716,0.00184671196620911,0.0020861946977675,0.00295393471606076,0.00331292580813169,0.003302245400846,0.00614253897219896,0.00197120918892324,0.00253428914584219,0.00301752658560872,0.00256048981100321,0.0581318661570549,0.898776650428772,0.00231641391292214,0.00398975051939487,0.00175352499354631
"159336_DFCI16-252_T_STAR_hg38_aligned.RG.MD.bam",0.00188104237895459,0.99407023191452,0.000177905065356754,0.000478825939353555,0.000170922634424642,0.000196272740140557,0.000106388710264582,0.000283181259874254,0.000655460928101093,0.000317460537189618,0.000109318731119856,0.000892499461770058,8.71074662427418e-05,5.78920989937615e-05,9.68133535934612e-05,0.000222869872231968,0.000195823464309797
"165161_DFCI16-367_T_STAR_hg38_aligned.RG.MD.bam",0.00110473076347262,0.000397612078813836,0.00115745759103447,0.00136572506744415,0.00246242992579937,0.000922268955036998,0.00118020921945572,0.00360732502304018,0.00105817744042724,0.00123187806457281,0.00114530068822205,0.00237354356795549,0.229174643754959,0.748086273670197,0.000985646736808121,0.00216503604315221,0.00158168433699757
"164222_DFCI16-362_T_STAR_hg38_aligned.RG.MD.bam",0.000608146656304598,0.000123686899314635,0.000287705741357058,0.000420414115069434,0.000282132939901203,0.000275190774118528,0.000375312753021717,0.00139635696541518,0.00065924774389714,0.000433758046710864,0.000330832874169573,0.000446063146227971,0.00185559550300241,0.990897595882416,0.00060174468671903,0.00057766551617533,0.000428571976954117
"160916_DFCI16-296_T_STAR_hg38_aligned.RG.MD.bam",0.00140967313200235,0.00769388629123569,0.0016169052105397,0.960542500019073,0.00468647154048085,0.00412635505199432,0.000745273078791797,0.00207238271832466,0.00201187003403902,0.00242514256387949,0.00102034129668027,0.00383523246273398,0.00281667103990912,0.0017156342510134,0.000939156278036535,0.00168370048049837,0.000658800068777055
"156259_DFCI16-155_T_STAR_hg38_aligned.RG.MD.bam",0.00287699000909925,0.969902396202087,0.0010073819430545,0.00165875349193811,0.000450979539891705,0.00233596353791654,0.00104532239492983,0.000864648376591504,0.0148814469575882,0.00106164417229593,0.000396873394493014,0.00161904783453792,0.00048671499826014,0.000173969616298564,0.000295401347102597,0.000605863577220589,0.000336667115334421
"154043_DFCI16-104_T_STAR_hg38_aligned.RG.MD.bam",0.000402777834096923,0.00030585375498049,0.000923756044358015,0.000539150845725089,0.000752239138819277,0.000400944787543267,0.989766299724579,0.000494476640596986,0.000464813638245687,0.000844761554617435,0.000353326060576364,0.00120852829422802,0.00083594600437209,0.00112607434857637,0.00083901290781796,0.000338815239956602,0.000403237121645361
"165454_DFCI16-373_T_STAR_hg38_aligned.RG.MD.bam",0.000318889011396095,0.000134189249365591,9.51318361330777e-05,0.000159285918925889,0.000900748535059392,0.000104272541648243,0.000104916223790497,0.000717003364115953,0.000112791312858462,0.000178931702976115,0.000600859057158232,0.00019133732712362,0.995791077613831,0.000248784606810659,0.000144924881169572,0.000119400821859017,7.74290892877616e-05
"158981_DFCI16-245_T_STAR_hg38_aligned.RG.MD.bam",0.00717720203101635,0.0218855608254671,0.00393089978024364,0.910305082798004,0.00201203790493309,0.00544866546988487,0.00153480796143413,0.00452566798776388,0.0222296938300133,0.00303103704936802,0.0014994393568486,0.00361531041562557,0.00526134390383959,0.00240689236670732,0.00150154216680676,0.00175112741999328,0.00188368186354637
"158979_DFCI16-244_T_STAR_hg38_aligned.RG.MD.bam",0.000239161279750988,8.24971939437091e-05,0.000253525126026943,0.000317663507303223,0.000337544333888218,0.000194093823665753,0.000295975245535374,0.000307328533381224,0.000214311454328708,0.000263476889813319,0.000344150612363592,0.000283814762951806,0.00593168335035443,0.990180730819702,0.00024025104357861,0.00029468783759512,0.000219103487324901
"156984_DFCI16-191_T_STAR_hg38_aligned.RG.MD.bam",0.0217092633247375,0.0050710616633296,0.00343822897411883,0.00295382807962596,0.00334251625463367,0.00276560219936073,0.0133188171312213,0.0109482137486339,0.00400284584611654,0.0043047103099525,0.00267568393610418,0.00643366482108831,0.00155348528642207,0.0131699275225401,0.00352216488681734,0.0852367505431175,0.815553247928619
"158973_DFCI16-241_T_STAR_hg38_aligned.RG.MD.bam",0.000443946977611631,0.000381944555556402,0.977164208889008,0.00107313261833042,0.000457153510069475,0.00482046976685524,0.000747857440728694,0.000482476054457948,0.00489048240706325,0.000731660053133965,0.000451499276096001,0.000659259734675288,0.000373685441445559,0.00165339896921068,0.000509806268382818,0.00485111493617296,0.000307830254314467
"156988_DFCI16-196_T_STAR_hg38_aligned.RG.MD.bam",0.000270306511083618,8.50755895953625e-05,7.26311045582406e-05,0.000112321955384687,6.00744970142841e-05,8.43084562802687e-05,6.41613733023405e-05,6.38654673821293e-05,0.000352529488736764,7.63035350246355e-05,4.63829856016673e-05,0.000795415486209095,4.99583984492347e-05,4.03580415877514e-05,6.15664321230724e-05,0.997705042362213,5.97791440668516e-05
"157234_SIGN0183_T_STAR_hg38_aligned.RG.MD.bam",0.000366437365300953,0.000140010044560768,0.000837982282973826,0.000505281030200422,0.000526468968018889,0.00119925918988883,0.000368959503248334,0.00075160461710766,0.000651021837256849,0.000515646417625248,0.000486440752865747,0.00152472115587443,0.0382741764187813,0.951929032802582,0.000698903575539589,0.00079872424248606,0.000425323552917689
"156499_DFCI16-174_T_STAR_hg38_aligned.RG.MD.bam",0.000472944899229333,0.000647966051474214,0.000324525870382786,0.00015624710067641,9.80592376436107e-05,0.000123217832879163,0.000204186362680048,0.000172932137502357,0.00122784764971584,0.000192932071513496,9.57790252869017e-05,0.000614714168477803,0.000120899952889886,0.000113522255560383,0.000160811687237583,0.995144009590149,0.000129378953715786
"156372_DFCI16-177_T_STAR_hg38_aligned.RG.MD.bam",0.000967688509263098,0.000542138353921473,0.00188939785584807,0.000505282660014927,0.000338404555805027,0.000424514291808009,0.0874488726258278,0.00347394309937954,0.00757451495155692,0.000528792443219572,0.000392232992453501,0.001705048722215,0.000911022012587637,0.00174503086600453,0.889678537845612,0.00102275994140655,0.000851795368362218
"156498_DFCI16-171_T_STAR_hg38_aligned.RG.MD.bam",0.000891226285602897,0.00011864751286339,0.000430262123700231,0.000136733040562831,0.000126152401207946,0.000319206534186378,0.000355145573848858,0.000444268021965399,0.000312944175675511,0.00017571727221366,0.000164962038979866,0.000184655204066075,8.46089751576073e-05,0.000387070671422407,0.000199435875401832,0.995259940624237,0.000409007712733001
"152003_DFCI16-057_T_STAR_hg38_aligned.RG.MD.bam",0.000156652895384468,0.000201991148060188,0.000836401653941721,0.000273874524282292,0.000147773826029152,0.000200934053282253,0.990310609340668,0.000947580207139254,0.0020355258602649,0.000312654650770128,0.000230867532081902,0.00110586057417095,0.00102595903445035,0.000834575446788222,0.000163755976245739,0.00101625279057771,0.000198701280169189
"154034_DFCI16-095_T_STAR_hg38_aligned.RG.MD.bam",0.0144941760227084,0.000689255772158504,0.00136467686388642,0.00185865897219628,0.00186271453276277,0.00114700139965862,0.00153917213901877,0.00281659723259509,0.00203578500077128,0.00134833692573011,0.00127710751257837,0.0018258016789332,0.0114167854189873,0.949036836624146,0.00259605422616005,0.00312543194741011,0.00156554416753352
"156367_DFCI16-167_T_STAR_hg38_aligned.RG.MD.bam",0.00291549158282578,0.926771581172943,0.0365027263760567,0.00912606064230204,0.000818052387330681,0.00118895166087896,0.000788750243373215,0.00162474939133972,0.00613096542656422,0.0025822976604104,0.00083051371620968,0.00597777776420116,0.00127421191427857,0.000312279880745336,0.000814008701127023,0.00157803925685585,0.000763578747864813
